ano_mes,forma_pagamento,quantidade,valor
2010-04,DOC,15955.47,15550.48
2010-04,Pix,0.0,0.0
2010-04,TEC,188.77,219.0
2010-04,TED,6821.98,705542.93
2010-05,Boleto,148708.89,168090.89
2010-05,Cheque,92581.25,92690.41
2010-05,DOC,16158.26,15500.81
2010-05,Pix,0.0,0.0
2010-05,TEC,186.06,214.53
2010-05,TED,7299.81,724099.48
2010-06,Boleto,147600.85,170019.56
2010-06,Cheque,92921.01,91275.21
2010-06,DOC,16295.17,14601.54
2010-06,Pix,0.0,0.0
2010-06,TEC,188.66,203.02
2010-06,TED,7805.55,729005.52
2010-07,Boleto,149488.99,171412.24
2010-07,Cheque,91610.47,92070.61
2010-07,DOC,16980.69,15275.12
2010-07,Pix,0.0,0.0
2010-07,TEC,201.77,217.54
2010-07,TED,8212.26,730036.88
2010-08,Boleto,155855.67,180711.3
2010-08,Cheque,94586.83,96248.7
2010-08,DOC,17209.22,15106.89
2010-08,Pix,0.0,0.0
2010-08,TEC,209.61,219.57
2010-08,TED,8734.05,785462.01
2010-09,Boleto,153245.81,179681.56
2010-09,Cheque,89875.49,92817.63
2010-09,DOC,16500.51,14388.91
2010-09,Pix,0.0,0.0
2010-09,TEC,219.0,236.5
2010-09,TED,8450.04,794408.74
2010-10,Boleto,150267.23,174870.74
2010-10,Cheque,88768.46,92502.02
2010-10,DOC,18640.57,15438.43
2010-10,Pix,0.0,0.0
2010-10,TEC,218.82,234.74
2010-10,TED,8239.49,806369.51
2010-11,Boleto,158554.66,190737.42
2010-11,Cheque,92485.43,96753.71
2010-11,DOC,16959.83,15000.9
2010-11,Pix,0.0,0.0
2010-11,TEC,302.05,313.42
2010-11,TED,8858.34,781884.93
2010-12,Boleto,162224.35,197164.38
2010-12,Cheque,97285.73,102440.6
2010-12,DOC,18623.12,16320.94
2010-12,Pix,0.0,0.0
2010-12,TEC,370.03,385.09
2010-12,TED,9724.29,959320.77
2011-01,Boleto,154337.79,185185.04
2011-01,Cheque,80478.02,89030.31
2011-01,DOC,15740.06,13612.83
2011-01,Pix,0.0,0.0
2011-01,TEC,201.46,207.85
2011-01,TED,8279.99,778635.56
2011-02,Boleto,150387.71,172315.16
2011-02,Cheque,80485.31,87233.95
2011-02,DOC,15050.94,13428.75
2011-02,Pix,0.0,0.0
2011-02,TEC,229.82,241.36
2011-02,TED,8595.22,724721.76
2011-03,Boleto,158627.0,191678.83
2011-03,Cheque,89632.4,96103.63
2011-03,DOC,15974.61,14454.88
2011-03,Pix,0.0,0.0
2011-03,TEC,237.75,256.49
2011-03,TED,9110.84,860840.89
2011-04,Boleto,151528.46,182220.81
2011-04,Cheque,79499.02,88480.05
2011-04,DOC,15793.64,13745.17
2011-04,Pix,0.0,0.0
2011-04,TEC,227.29,245.81
2011-04,TED,8679.39,791002.39
2011-05,Boleto,163767.95,201341.27
2011-05,Cheque,88796.24,99581.81
2011-05,DOC,17544.32,15113.16
2011-05,Pix,0.0,0.0
2011-05,TEC,230.7,256.58
2011-05,TED,9812.5,870617.96
2011-06,Boleto,160328.7,194951.76
2011-06,Cheque,82585.78,93906.83
2011-06,DOC,17774.95,15424.58
2011-06,Pix,0.0,0.0
2011-06,TEC,239.31,268.64
2011-06,TED,9002.06,803423.78
2011-07,Boleto,156523.82,187855.14
2011-07,Cheque,80774.1,91644.1
2011-07,DOC,17386.34,15527.14
2011-07,Pix,0.0,0.0
2011-07,TEC,231.75,256.59
2011-07,TED,9476.63,809324.24
2011-08,Boleto,172662.86,213706.57
2011-08,Cheque,88649.98,102142.87
2011-08,DOC,19061.73,16707.0
2011-08,Pix,0.0,0.0
2011-08,TEC,239.23,262.04
2011-08,TED,10337.54,892892.38
2011-09,Boleto,160779.24,201214.49
2011-09,Cheque,81358.27,94382.93
2011-09,DOC,17732.1,15742.89
2011-09,Pix,0.0,0.0
